id;sku;dealer_price;available_stock
33829;D-218542;2.18;3
33833;D-219521;10.23;21
33837;D-220352;;0
33841;D-220723;9.74;0
33842;D-220781;11.81;0
33845;D-221228;17.95;27
33850;D-222204;5.73;1
33851;D-222215;3.25;28
33852;D-222242;4.59;9
33853;D-222300;;0
33857;D-222813;10.98;4
33858;D-222820;12.28;0
33860;D-223116;7.99;1
33865;D-223832;;0
33867;D-224087;21.36;0
33868;D-224142;3.81;50
33870;D-225246;4.60;42
33875;D-225570;7.14;0
33877;D-226610;4.59;50
33881;D-226883;7.06;0
33882;D-227010;3.28;50
33884;D-227105;17.49;3
33889;D-227378;7.14;5
33890;D-227501;;0
33891;D-227522;;0
33892;D-227578;;0
33893;D-227583;;0
33894;D-227602;;0
33898;D-227724;;0
33899;D-227728;;0
33905;D-228821;7.75;4
33911;D23-194171;1.09;50
33912;D24-194024;5.22;2
33914;D62-31100;3.23;0
33917;PD4118-21;;0
33918;PD4413-23;4.42;41
33920;TNH-003;;0
33923;D-194272;7.75;42
33924;D-194278;9.25;3
33929;D-196671;9.37;21
33930;D-196693;;0
33939;D-197307;9.26;6
33940;D-197309;9.26;8
33943;D-197718;19.91;14
33944;D-197968;8.31;5
33945;D-199351;7.56;37
33946;D-199352;7.56;25
33947;D-201412;8.73;2
33948;D-201712;4.79;9
33949;D-201718;4.79;0
33950;D-201727;6.51;2
33951;D-201728;6.51;5
33952;D-201738;;0
33953;D-201839;9.71;12
33954;D-202560;8.58;29
33956;D-202915;5.36;25
33958;D-203368;;0
33960;D-205345;5.89;15
33961;D-205379;8.02;0
33962;D-205421;3.34;0
33964;D-205881;7.61;37
33965;D-207033;15.38;19
33970;D-210960;5.00;4
33972;D-211171;5.02;14
33973;D-211770;7.53;12
33979;D-212601;4.85;43
33984;D-216376;7.14;6
33985;D-216385;7.14;17
33986;D-216405;7.14;4
33987;D-216421;7.14;3
33990;D-218419;3.89;50
33992;D-219246;1.21;50
33993;D-219401;6.08;16
33994;D-219488;7.43;0
34004;D-220411;;0
34006;D-220416;;0
34007;D-220513;5.64;3
34008;D-220565;;0
34009;D-220630;10.85;0
34012;D-221233;4.84;9
34014;D-221696;7.69;50
34015;D-221849;;0
34016;D-222104;;0
34017;D-222206;5.73;6
34019;D-222290;7.14;1
34023;D-222787;2.04;50
34028;D-223213;8.63;7
34033;D-223836;5.32;39
34034;D-224025;8.93;12
34035;D-224122;1.92;50
34036;D-225238;1.92;34
34037;D-225564;7.14;3
34038;D-225571;7.14;7
34040;D-225624;;0
34041;D-226607;7.66;29
34042;D-226608;;0
34043;D-226742;;0
34044;D-226743;;0
34046;D-226852;3.38;27
34047;D-226874;;0
34049;D-227085;24.95;23
34050;D-227129;6.83;19
34051;D-227363;9.57;16
34052;D-227388;7.14;0
34053;D-227471;6.30;8
34054;D-227523;;0
34055;D-227594;;0
34056;D-227688;6.31;2
34057;D-227697;;0
34058;D-227729;;0
34059;D-228000;5.27;3
34060;D-228032;11.17;7
34061;D-228033;10.76;7
34074;D-228440;;0
34075;D-228453;6.98;50
34083;D55-21767;6.92;1
34085;PD2177-00;4.77;12
34086;PD2189-00;;0
34088;PD3253-23;9.75;12
34090;PD3366-23;11.90;13
34091;PD3367-21;14.62;1
34095;1901 NUDE;3.85;17
34096;9040 BLACK;3.15;6
34097;D-194541;22.32;40
34098;D-194588;;0
34099;D-194822;5.73;50
34101;D-195940;13.95;40
34103;D-196496;2.70;50
34104;D-197710;;0
34107;D-201710;3.46;1
34108;D-202793;13.67;0
34110;D-203245;6.40;16
34111;D-203247;6.40;8
34112;D-203249;5.18;8
34114;D-205180;4.00;19
34115;D-205292;7.44;0
34117;D-205378;7.46;3
34119;D-210389;3.01;37
34120;D-210754;21.15;11
34122;D-211898;6.56;50
34128;D-212219;4.79;0
34130;D-212421;17.75;4
34133;D-212777;13.46;1
34135;D-213290;4.50;0
34136;D-213832;;0
34137;D-213990;;0
34140;D-215643;24.79;22
34146;D-218575;22.89;50
34151;D-219517;;0
34160;D-220349;23.22;7
34161;D-220560;6.38;0
34162;D-220726;15.02;0
34165;D-221149;9.25;0
34166;D-221568;7.69;15
34167;D-221570;6.15;50
34168;D-222095;4.36;2
34169;D-222118;16.71;4
34170;D-222207;5.73;10
34171;D-222208;5.73;21
34172;D-222250;7.14;3
34173;D-222274;7.14;3
34174;D-222284;7.14;11
34175;D-222288;7.14;6
34176;D-222293;7.14;0
34177;D-222294;;0
34178;D-222329;7.14;1
34179;D-222337;7.14;2
34185;D-223376;40.54;1
34191;D-224132;3.29;1
34192;D-224137;6.58;35
34198;D-226740;1.42;33
34200;D-227386;7.14;0
34201;D-227438;;0
34202;D-227477;;0
34203;D-227532;;0
34204;D-227606;;0
34205;D-227682;;0
34206;D-227723;;0
34207;D-227730;;0
34208;D-228002;5.27;6
34210;D-228439;;0
34221;D51-TE02CHOCOLATE;17.49;13
34222;D51-TE07COCO;3.51;46
34223;D62-41110;3.68;7
34225;PD3366-21;11.90;47
34226;PD3869-23;6.46;11
34227;PD3941-23;16.32;9
34228;PD3947-21;;0
34229;PD4405-23;;0
34232;RD522;8.16;0
34237;1061 BLACK;;0
34239;D-195228;13.46;29
34242;D-195923;15.30;9
34243;D-197673;;0
34245;D-201404;5.12;11
34247;D-201709;3.46;0
34248;D-201735;6.51;3
34249;D-201834;9.19;50
34255;D-205418;2.91;0
34257;D-207036;15.38;18
34258;D-207045;14.41;9
34259;D-210483;9.57;13
34260;D-210601;10.99;3
34261;D-211112;12.20;35
34264;D-212408;3.53;14
34266;D-212743;3.29;26
34267;D-213995;3.71;11
34269;D-214860;17.69;12
34271;D-215541;4.76;34
34272;D-215555;;0
34274;D-216384;7.14;1
34275;D-216389;7.14;4
34277;D-216576;;0
34278;D-216611;6.43;3
34279;D-218421;3.89;26
34280;D-218520;6.77;0
34281;D-218631;7.49;25
34282;D-218657;3.25;50
34284;D-219255;1.21;0
34291;D-220631;10.85;0
34292;D-220839;11.37;22
34294;D-221235;10.20;40
34295;D-221678;4.44;10
34299;D-221834;;0
34301;D-222122;21.40;0
34302;D-222276;7.14;0
34303;D-222301;7.14;13
34304;D-222310;7.14;0
34306;D-222679;7.14;0
34309;D-223109;13.30;2
34316;D-223835;5.32;18
34317;D-224129;1.99;50
34320;D-225489;18.50;0
34321;D-225573;7.14;2
34325;D-227134;8.65;6
34326;D-227368;;0
34328;D-227391;7.14;4
34329;D-227684;;0
34337;D11521;8.83;41
34338;D11891;5.91;33
34339;D11893;5.91;18
34342;D51-TE07ROJO;3.51;50
34343;D62-25100;6.70;12
34344;D62-41140;3.68;4
34345;PD1511-21;13.60;19
34346;PD2107-00;6.46;50
34347;PD2164-12;20.80;4
34349;PD4429-23;8.85;14
34351;1766 BLACK;6.65;14
34352;1767 BLACK;6.65;9
34354;3030 BLACK;2.45;10
34355;9014 RED;3.15;8
34356;9023Q BLACK;3.50;13
34357;D-10002;148.50;3
34361;D-196670;20.33;1
34362;D-197308;9.26;3
34363;D-197821;5.39;0
34364;D-199377;12.39;16
34370;D-201706;3.50;4
34374;D-202726;7.14;2
34378;D-205377;6.98;1
34380;D-207044;19.65;16
34382;D-210114;2.06;48
34383;D-210602;10.99;7
34384;D-211750;;0
34385;D-212339;13.10;0
34386;D-212422;15.48;8
34387;D-212596;19.65;15
34388;D-212603;;0
34391;D-214861;16.38;0
34392;D-215141;21.36;0
34393;D-215561;5.16;50
34394;D-215771;11.65;0
34397;D-216383;7.14;6
34398;D-217904;11.70;1
34399;D-218006;9.90;1
34400;D-218165;16.60;50
34406;D-219487;4.19;0
34409;D-219818;;0
34413;D-220316;;0
34414;D-220524;1.80;50
34416;D-220609;10.53;8
34417;D-220665;8.61;2
34422;D-221687;5.18;5
34425;D-221887;22.45;0
34426;D-221972;;0
34427;D-221991;1.17;0
34428;D-222166;3.28;50
34429;D-222176;3.28;50
34431;D-222205;5.73;6
34432;D-222244;3.25;15
34433;D-222394;7.78;31
34434;D-222681;7.14;2
34436;D-222807;8.85;3
34439;D-223108;15.37;1
34442;D-223857;4.56;25
34443;D-224023;8.93;44
34445;D-224028;8.93;20
34446;D-224968;7.42;2
34450;D-225583;16.25;0
34455;D-227008;6.68;50
34456;D-227432;;0
34457;D-227475;;0
34462;D-227579;;0
34463;D-227589;;0
34464;D-227608;;0
34466;D-227704;;0
34467;D-227738;;0
34472;D-228340;3.29;50
34475;D12-201191;11.51;16
34476;D22-149122;6.07;50
34477;D51-TE03CHO;2.43;11
34479;PD3361-21;15.65;3
34480;PD3801-23;5.20;32
34481;PD3925-01;12.24;17
34483;1067 BLACK;6.65;11
34484;6672 BLACK;2.63;28
34486;D-194273;6.00;19
34487;D-194309;31.43;17
34488;D-195210;3.85;9
34489;D-195233;;0
34493;D-197836;29.99;1
34495;D-199965;8.63;1
34496;D-199967;6.07;0
34498;D-201719;4.79;4
34499;D-202716;7.14;3
34500;D-202940;9.83;8
34503;D-203233;;0
34506;D-205196;12.21;50
34507;D-205307;3.42;4
34509;D-205412;10.41;0
34510;D-205442;46.80;20
34512;D-207065;8.75;43
34513;D-209376;6.40;50
34514;D-210245;5.44;14
34515;D-210385;3.01;50
34516;D-210482;9.57;21
34518;D-211110;6.56;16
34521;D-212220;4.79;2
34522;D-212595;15.72;33
34523;D-212713;;0
34527;D-215173;3.25;6
34529;D-216366;7.14;0
34530;D-216422;7.14;2
34534;D-219188;23.94;7
34539;D-220725;15.02;7
34540;D-220926;6.28;9
34541;D-221011;4.23;50
34543;D-221862;1.68;13
34544;D-221969;;0
34545;D-222119;22.04;0
34546;D-222209;5.73;28
34547;D-222220;3.89;39
34548;D-222240;4.59;10
34549;D-222241;4.59;7
34550;D-222292;7.14;5
34551;D-222297;7.14;4
34559;D-223323;24.79;5
34563;D-224144;3.43;50
34564;D-224964;12.06;0
34565;D-224965;12.06;0
34566;D-224966;10.41;7
34567;D-224967;6.97;2
34571;D-225480;17.38;2
34572;D-225492;0.74;50
34578;D-225575;7.14;29
34583;D-227405;;0
34584;D-227430;;0
34585;D-227469;;0
34586;D-227588;;0
34587;D-227683;;0
34588;D-227944;;0
34589;D-228124;;0
34590;D-228347;3.29;42
34599;D14581;8.76;17
34600;D51-TE07CAR;3.51;26
34603;PD3360-21;12.24;6
34604;PD3360-23;12.24;10
34605;PD3740-23;7.14;32
34606;D-194015;4.25;50
34608;D-195473;9.61;47
34614;D-199886;;0
34615;D-199887;6.84;50
34617;D-201832;7.36;38
34621;D-202718;7.14;8
34624;D-205380;8.38;0
34626;D-207322;5.84;12
34630;D-207769;;0
34633;D-208338;10.80;2
34634;D-208347;12.31;4
34635;D-208887;6.40;0
34636;D-210777;9.61;12
34638;D-211115;15.86;32
34640;D-211731;14.24;41
34643;D-212479;;0
34645;D-213052;;0
34648;D-213811;35.92;8
34654;D-216245;12.99;0
34656;D-216338;2.21;15
34657;D-216359;7.14;2
34658;D-216391;7.14;9
34665;D-218220;50.70;50
34671;D-218420;2.48;29
34672;D-218632;5.35;48
34674;D-219414;4.33;46
34675;D-219502;;0
